drug,disease
[14208],39025
[14208],83765
[14208],28407
[14208],39202
[14208],33453
[14208],83766
[14208],33232
[14208],32899
[14208],27741
[14208],32905
[14208],38508
[14208],38085
[14208],39539
[14208],37285
[14269],83767
[20440],83767
[14024],83767
[14030],83767
[14028],83767
[15003],83767
[14042],83767
[14320],83767
[17727],83767
[14019],83767
[17428],83767
[17735],83767
[14023],83767
[17728],83767
[14502],33621
[14502],28830
[14502],30654
[14502],83769
[14269],33621
[14269],28830
[14269],30654
[14269],83769
[14194],33621
[14194],28830
[14194],30654
[14194],83769
[14955],33621
[14955],28830
[14955],30654
[14955],83769
[15429],33621
[15429],28830
[15429],30654
[15429],83769
[14024],33621
[14024],28830
[14024],30654
[14024],83769
[14764],33621
[14764],28830
[14764],30654
[14764],83769
[14030],33621
[14030],28830
[14030],30654
[14030],83769
[14028],33621
[14028],28830
[14028],30654
[14028],83769
[15003],33621
[15003],28830
[15003],30654
[15003],83769
[14042],33621
[14042],28830
[14042],30654
[14042],83769
[14320],33621
[14320],28830
[14320],30654
[14320],83769
[14019],33621
[14019],28830
[14019],30654
[14019],83769
[14948],33621
[14948],28830
[14948],30654
[14948],83769
[14275],33621
[14275],28830
[14275],30654
[14275],83769
[14789],33621
[14789],28830
[14789],30654
[14789],83769
[14628],33621
[14628],28830
[14628],30654
[14628],83769
[14780],33621
[14780],28830
[14780],30654
[14780],83769
[14514],33621
[14514],28830
[14514],30654
[14514],83769
[14503],33621
[14503],28830
[14503],30654
[14503],83769
[14023],33621
[14023],28830
[14023],30654
[14023],83769
[15805],33621
[15805],28830
[15805],30654
[15805],83769
[14269],33206
[14269],39506
[14024],33206
[14024],39506
[14030],33206
[14030],39506
[14028],33206
[14028],39506
[15003],33206
[15003],39506
[14042],33206
[14042],39506
[14320],33206
[14320],39506
[14019],33206
[14019],39506
[14023],33206
[14023],39506
[14269],38666
[14269],30813
[14024],38666
[14024],30813
[14030],38666
[14030],30813
[14028],38666
[14028],30813
[15003],38666
[15003],30813
[14042],38666
[14042],30813
[14320],38666
[14320],30813
[14019],38666
[14019],30813
[17886],38666
[17886],30813
[14023],38666
[14023],30813
[14059],36469
[14059],31732
[14059],32719
[14060],36469
[14060],31732
[14060],32719
[17422],37784
[17422],28158
[17422],83770
[15876],37784
[15876],28158
[15876],83770
[14269],37784
[14269],28158
[14269],83770
