hypergraph_idx,kg_idx,node_name
595,19699,Dinoprost
596,19700,Ramatroban
597,19702,Bafilomycin A1
598,19712,Doxapram
599,19718,Cerliponase alfa
600,15317,Alosetron
601,19723,Ginsenoside Rb1
602,19724,Ginsenoside Rg1
603,19729,Diosmin
604,19731,Kynurenic Acid
605,19732,Cantharidin
606,19863,Anthralin
607,19886,Omacetaxine mepesuccinate
608,19896,Fluorescein
609,19964,MRTX849
610,19995,Kaempherol
611,20022,Gluconolactone
612,20037,Uridine
613,20077,Alglucosidase alfa
614,20092,Trimetazidine
615,20093,Thonzonium
616,20126,Dimethyl fumarate
617,20128,Ethchlorvynol
618,20129,Chlordiazepoxide
619,20130,Halazepam
620,20133,Ethyl loflazepate
621,20138,Loprazolam
622,20139,Doxefazepam
623,20146,Magnesium carbonate
624,20147,Setiptiline
625,20148,Synephrine
626,20149,Levonordefrin
627,20151,Mephentermine
628,20153,Metixene
629,20156,Dactinomycin
630,20157,Guaifenesin
631,20158,Daratumumab
632,20159,Isatuximab
633,20161,Ixekizumab
634,20162,Alirocumab
635,20164,Asfotase alfa
636,20166,Risankizumab
637,20169,Magnesium sulfate
638,20172,Silicon dioxide
639,20175,Olcegepant
640,20176,Erenumab
641,20178,Catridecacog
642,20180,Dibotermin alfa
643,20185,Epicriptine
644,20186,SC-236
645,20187,CPI-1205
646,20189,Romosozumab
647,20193,Pramocaine
648,20194,Mogamulizumab
649,20196,Golodirsen
650,20199,Tauroursodeoxycholic acid
651,20200,Ferumoxytol
652,20202,Aminohippuric acid
653,20203,Ceftazidime
654,20204,Cefixime
655,20206,Cyclacillin
656,20207,Cefadroxil
657,20208,Cefepime
658,20210,Azidocillin
659,20211,Acetylcarnitine
660,20212,Melphalan
661,20214,Potassium bicarbonate
662,20215,Valganciclovir
663,20218,Sodium citrate
664,20223,Gaboxadol
665,20227,Foscarnet
666,20228,Acetic acid
667,20230,Pilsicainide
668,20234,Novobiocin
669,20235,Cefamandole
670,20237,Relebactam
671,20238,Nystatin
672,20239,Penicillamine
673,20246,Valspodar
674,20247,Levomenol
675,20248,Loracarbef
676,20249,Cefuroxime
677,20250,Ceftizoxime
