hypergraph_idx,kg_idx,node_name
678,20251,Ceftibuten
679,20252,Gramicidin D
680,20253,Ledipasvir
681,20254,Polyethylene glycol
682,20256,Salinomycin
683,20257,Sarecycline
684,20260,2-deoxyglucose
685,20262,Piperacillin
686,20263,Ganciclovir
687,20265,Tazobactam
688,20269,Cabotegravir
689,20270,Edaravone
690,20272,Avibactam
691,20273,Polymyxin B
692,20274,Leucovorin
693,20276,Pradigastat
694,20278,Buformin
695,20279,Tyramine
696,20284,Plazomicin
697,20288,Sodium bicarbonate
698,20289,Clavulanic acid
699,20290,"Sodium phosphate, monobasic"
700,20291,"Sodium phosphate, dibasic"
701,20293,Inositol
702,20294,Phenyltoloxamine
703,20295,Methapyrilene
704,20296,Polyvinyl alcohol
705,20297,Imidapril
706,20298,Potassium citrate
707,20300,Perazine
708,20301,Delapril
709,20302,Potassium Iodide
710,20303,Trolnitrate
711,20304,Salicylamide
712,20305,Chlorphentermine
713,20306,Zinc gluconate
714,20307,Endralazine
715,20308,Telavancin
716,20310,Trimazosin
717,20311,Calcium gluconate
718,20312,Difenoxin
719,20313,Polyethylene glycol 300
720,20314,Polyethylene glycol 3500
721,20315,Articaine
722,20316,Epitizide
723,20317,Butacaine
724,20318,Sulfacetamide
725,20319,Xipamide
726,20320,Cobalamin
727,20321,Methscopolamine
728,20322,Zinc oxide
729,20323,Ammonium chloride
730,20324,Triethylenetetramine
731,20325,Meticrane
732,20326,Tramazoline
733,20328,Methenamine
734,20330,Dichlorophen
735,20332,Adomiparin
736,20333,Parnaparin
737,20334,"Heparin, bovine"
738,20335,Racementhol
739,20336,Temozolomide
740,20337,Monopotassium phosphate
741,20339,Mannitol
742,20340,Ethionamide
743,20341,Ethadione
744,20343,Chloral hydrate
745,20344,Tigecycline
746,20347,Lincomycin
747,20351,Meropenem
748,20352,Povidone
749,20353,Povidone K30
750,20354,Phensuximide
751,20357,Bisacodyl
752,20358,Povidone-iodine
753,20359,Sulfadoxine
754,20360,Ertapenem
755,20362,Magnesium oxide
756,20363,Methylpentynol
757,20364,Carbromal
758,20365,Sertaconazole
759,20366,Haloprogin
760,20367,Tolnaftate
761,20368,Clioquinol
762,20369,Undecylenic acid
763,20370,Oxitropium
764,20371,Neltenexine
765,20372,Vonoprazan
766,20373,Chlorbenzoxamine
767,20374,Troxipide
768,20375,Aluminum hydroxide
769,20376,Magnesium hydroxide
770,20377,Benzoyl peroxide
771,20378,Trioxsalen
772,20379,Methyl aminolevulinate
773,20380,Trichloroacetate
774,20381,Cianidanol
775,20382,Benzoin
776,20384,Mebanazine
777,20385,Iproclozide
778,20386,Opipramol
779,20387,Demexiptiline
780,20388,Lofepramine
781,20389,Caroxazone
782,20391,Silver sulfadiazine
783,20393,Verteporfin
784,20394,Sulfabenzamide
785,20395,Inulin
786,20396,Calcium lactate
787,20397,Pantothenic acid
788,20398,Aztreonam
789,20400,Dipotassium phosphate
790,20401,Paromomycin
791,20402,Ethambutol
792,20403,Almasilate
793,20404,Sulbactam
794,20405,Calcium acetate
795,20406,Meticillin
796,20407,Kanamycin
797,20409,Procaine benzylpenicillin
798,20410,Mezlocillin
799,20411,Bacampicillin
800,20412,Amikacin
801,20413,Azlocillin
802,20414,Cefoxitin
803,20415,Ticarcillin
804,20416,Telbivudine
805,20417,Magnesium citrate
806,20418,Tobramycin
807,20419,Calcium glucoheptonate
